,name,SAE_Type,k,lambda,val_MSE,val_L0
0,summer-moon-5,TopK,16,,1.2790542816251054,5.987833704973132
1,charmed-frog-6,TopK,32,,1.1175577288464562,10.97735318495202
2,ancient-pyramid-7,TopK,64,,0.8537880176089588,22.961973022302814
3,cosmic-disco-8,TopK,128,,0.8369281770651822,23.96074708138105
4,daily-wind-9,TopK,256,,1.0634881628609691,12.973421946708402
5,faithful-yogurt-10,ReLU,32,0.0001,1.479805451600663,1.9944897587435233
6,honest-tree-11,ReLU,32,0.0003,1.422801788606792,2.953820375580862
7,crimson-sunset-12,ReLU,32,0.0006,1.365858434395469,3.903104491802077
8,comic-pyramid-13,ReLU,32,1e-05,1.3198965028159977,4.9847569712703095
9,summer-donkey-14,ReLU,32,1e-06,1.4222739144310432,2.994466420900019
10,prime-snowflake-15,SpaDE,32,,0.9097043847172988,20.31490438589778
11,warm-music-16,SpaDE,32,,1.2102238613089131,8.888553016544005
12,drawn-brook-17,SpaDE,32,0.5,1.6731193936550557,1.0
13,hearty-hill-18,SpaDE,32,0.1,1.67376341350338,1.0
14,glad-spaceship-19,SpaDE,32,0.01,1.562663898566844,1.9966390843218471
15,crisp-snowflake-20,TopK,512,,0.9927681619639224,15.967736259025614
16,helpful-donkey-21,TopK,1024,,0.8354182552179524,23.961259268726092
17,twilight-bird-22,TopK,2048,,0.8543009053857833,22.961925210112735
18,wise-deluge-23,TopK,128,,1.146979359765127,9.979042369466988
19,desert-monkey-24,TopK,256,,1.1482984402019123,9.977399554277332
20,sparkling-blaze-25,ReLU,32,0.00001,1.479182182816026,1.9940453125405189
21,logical-wave-26,ReLU,32,0.000001,1.421903545992362,2.955646383947659
22,usual-dew-27,ReLU,32,0.0000001,1.562565350161933,0.99985832253886
25,helpful-snowball-30,SpaDE,32,,0.9086287092668404,20.194040812358956
26,royal-silence-31,SpaDE,32,,1.2779708964837029,6.945310743361557
27,flowing-voice-32,SpaDE,32,0.5,1.6729230578081595,1.0
28,woven-galaxy-33,SpaDE,32,0.1,1.673121590070774,1.0
29,elated-sponge-34,SpaDE,32,0.01,1.673749325188948,1.0
